condition,ordering,seed,i,j,kappa,magnitude,interference,abs_interference
entity,0,0,0,1,0.027549465128925563,2.4359858206305676,-0.0206064541084616,0.0206064541084616
entity,0,0,0,2,0.027771567996152702,2.5204844465054648,-0.042201499692180865,0.042201499692180865
entity,0,0,0,3,0.027773282515938226,2.424079415073791,-0.04252034130838758,0.04252034130838758
entity,0,0,1,2,0.03740761551695904,1.065948771358439,-0.00037499053480499756,0.00037499053480499756
entity,0,0,1,3,0.036776848014489195,1.0251777104816937,-0.00025684926653717077,0.00025684926653717077
entity,0,0,2,3,0.036390511932713185,1.060738717068691,-0.0008434085059589581,0.0008434085059589581
entity,0,1,0,1,0.03505467373986889,5.630037290568659,-0.16340751397547856,0.16340751397547856
entity,0,1,0,2,0.02512258174884934,2.5375616464698134,-0.16340741216755672,0.16340741216755672
entity,0,1,0,3,0.025563564027030382,2.60502060214752,-0.16340751399068604,0.16340751399068604
entity,0,1,1,2,0.03459775951794106,2.5076565467539003,3.7459521266824947e-07,3.7459521266824947e-07
entity,0,1,1,3,0.03534527602070848,2.5743205003479805,-5.013624793104299e-10,5.013624793104299e-10
entity,0,1,2,3,0.04459322611483445,1.1602937299095943,2.0823967128436038e-07,2.0823967128436038e-07
entity,0,2,0,1,0.025981622598675307,2.5120391250524827,-0.02116839579278311,0.02116839579278311
entity,0,2,0,2,0.03652628398887697,5.615106284982212,-0.10228681361033262,0.10228681361033262
entity,0,2,0,3,0.018723814641955213,2.401796378947609,-0.10229145209925873,0.10229145209925873
entity,0,2,1,2,0.04203870627836609,2.5472160078769424,-0.0591468598221951,0.0591468598221951
entity,0,2,1,3,0.02064841069233842,1.0895420092899637,-0.059151348798564256,0.059151348798564256
entity,0,2,2,3,0.0290852240374902,2.435429497535555,-5.949105355629314e-06,5.949105355629314e-06
entity,1,0,0,1,0.02538752918946738,2.560393947036155,-0.04166401689886884,0.04166401689886884
entity,1,0,0,2,0.025161705526544356,2.6111910561751017,-0.08248634814772154,0.08248634814772154
entity,1,0,0,3,0.024588869630445067,2.487640478431231,-0.09780907306612524,0.09780907306612524
entity,1,0,1,2,0.030639816464007943,1.1907866446351596,-0.07944186027838068,0.07944186027838068
entity,1,0,1,3,0.026600604667748367,1.1344436292259903,-0.09824381669127072,0.09824381669127072
entity,1,0,2,3,0.032039191965298516,1.1569505004488667,-0.034735515361782376,0.034735515361782376
entity,1,1,0,1,0.025676309084921467,2.562286076891431,-0.0005522438332722368,0.0005522438332722368
entity,1,1,0,2,0.02247455378814508,2.585212099706891,-0.02665225647324304,0.02665225647324304
entity,1,1,0,3,0.028309408591947856,2.6762113841005757,-0.05040572668346904,0.05040572668346904
entity,1,1,1,2,0.029821538893025183,1.1570206076020815,-0.03126866590604396,0.03126866590604396
entity,1,1,1,3,0.029672140502827484,1.1977476517515628,-0.09458502505446313,0.09458502505446313
entity,1,1,2,3,0.02820888685578324,1.208464483973722,-0.04078549988194741,0.04078549988194741
entity,1,2,0,1,0.030850303950371426,2.5023303651636124,0.0002569569758914339,0.0002569569758914339
entity,1,2,0,2,0.03138676596411472,2.4942965933716024,-0.00018204867450114645,0.00018204867450114645
entity,1,2,0,3,0.0293460618391127,2.5232456114232553,-0.0001929308048175571,0.0001929308048175571
entity,1,2,1,2,0.04008141135624451,1.0934602316234625,-6.142932340164053e-07,6.142932340164053e-07
entity,1,2,1,3,0.03790048395055975,1.106151023916629,-4.355996625765579e-07,4.355996625765579e-07
entity,1,2,2,3,0.03758496793744435,1.1025997083040469,1.510173347832322e-07,1.510173347832322e-07
entity,2,0,0,1,0.027319143384979025,2.695622464465466,-0.02947333670668837,0.02947333670668837
entity,2,0,0,2,0.02559371668879428,2.5415391879496605,-0.028875550969566524,0.028875550969566524
entity,2,0,0,3,0.030842750630473793,2.6283451539878864,-0.027385320696025853,0.027385320696025853
entity,2,0,1,2,0.03574337372434963,1.2128274950170757,-0.021304259421930902,0.021304259421930902
entity,2,0,1,3,0.03626260499296467,1.2542514725980045,-0.007827296728247994,0.007827296728247994
entity,2,0,2,3,0.036395766789494854,1.1825577621395567,0.008286663414526899,0.008286663414526899
entity,2,1,0,1,0.03295227199886445,5.552128419599301,-0.2600375204708994,0.2600375204708994
entity,2,1,0,2,0.0138833051470294,2.403066966117784,-0.2271566214236951,0.2271566214236951
entity,2,1,0,3,0.014956049125050934,2.611331284836516,-0.20376124182348326,0.20376124182348326
entity,2,1,1,2,0.020531577621170846,2.49137449229043,3.527091765820334e-06,3.527091765820334e-06
entity,2,1,1,3,0.02713485164351708,2.7072920753731573,-3.3830969560637386e-06,3.3830969560637386e-06
entity,2,1,2,3,0.024006896703144716,1.1717675929461333,0.013154159445771932,0.013154159445771932
entity,2,2,0,1,0.02446613192184584,2.6397285046382803,-0.015781916761637454,0.015781916761637454
entity,2,2,0,2,0.022214218244416096,2.6193487485415403,-0.03171004266839239,0.03171004266839239
entity,2,2,0,3,0.024976384746157806,2.671966227727242,-0.03569117099187198,0.03569117099187198
entity,2,2,1,2,0.021300946867202904,1.200411383083633,-0.017893361978453315,0.017893361978453315
entity,2,2,1,3,0.025148506156518275,1.224525247645903,-0.017432046823999514,0.017432046823999514
entity,2,2,2,3,0.02452940958539925,1.2150714247101448,-0.00595033744972398,0.00595033744972398
entity,3,0,0,1,0.039094589965071154,5.711522022599321,-0.23676018192497422,0.23676018192497422
entity,3,0,0,2,0.021516373593405528,2.5175841156320393,-0.22949679273385237,0.22949679273385237
entity,3,0,0,3,0.02305947543213887,2.546324990761275,-0.236440667125077,0.236440667125077
entity,3,0,1,2,0.030694630348314624,2.538952699396558,0.00041387205500469223,0.00041387205500469223
entity,3,0,1,3,0.030740599535159625,2.567937519422749,5.0519467334083875e-06,5.0519467334083875e-06
entity,3,0,2,3,0.04174760644790584,1.1319222237528948,-0.0002679952235636468,0.0002679952235636468
entity,3,1,0,1,0.03542026517589613,5.651371698075688,-0.15645668412411795,0.15645668412411795
entity,3,1,0,2,0.022049947615498246,2.4484204050174623,-0.15639194949141738,0.15639194949141738
entity,3,1,0,3,0.024431596625540227,2.4008922119389178,-0.15639235996858492,0.15639235996858492
entity,3,1,1,2,0.02704179038124012,2.495482810058981,-0.003273336578873104,0.003273336578873104
entity,3,1,1,3,0.03088011318857324,2.447041052026897,-0.03723672281072382,0.03723672281072382
entity,3,1,2,3,0.03755895863499871,1.0601647818950117,-0.0202515335318995,0.0202515335318995
entity,3,2,0,1,0.026965328310827284,2.4292540099564373,0.015108840288613708,0.015108840288613708
entity,3,2,0,2,0.03034248940819104,2.5818087993107475,0.030268896093469992,0.030268896093469992
entity,3,2,0,3,0.030480185273726472,2.6420523786698764,0.025123795723546536,0.025123795723546536
entity,3,2,1,2,0.036140671161198804,1.098754407532563,0.06317478411986416,0.06317478411986416
entity,3,2,1,3,0.035788840185623096,1.124392595133462,0.05513689510339011,0.05513689510339011
entity,3,2,2,3,0.0395477775063351,1.195003356626126,-0.05165090804203609,0.05165090804203609
attribute,0,0,0,1,0.02772084396462528,2.324179046050739,-7.491707800183489e-05,7.491707800183489e-05
attribute,0,0,0,2,0.028845372318782994,2.5737340131644677,-3.232657910701153e-05,3.232657910701153e-05
attribute,0,0,0,3,0.033592850738808765,2.356347999022034,0.00046519339082995437,0.00046519339082995437
attribute,0,0,1,2,0.03295284321931423,1.0385101433695876,1.8071034501265024e-07,1.8071034501265024e-07
attribute,0,0,1,3,0.030314196637279803,0.9507941713387297,-5.300627845741189e-09,5.300627845741189e-09
attribute,0,0,2,3,0.03616403676807255,1.052884158150865,-0.0008582617319749103,0.0008582617319749103
attribute,0,1,0,1,0.02914071605603878,2.52012940437338,3.3958678344325754e-07,3.3958678344325754e-07
attribute,0,1,0,2,0.024253111279307356,2.395699082089564,3.038255338427831e-07,3.038255338427831e-07
attribute,0,1,0,3,0.02573009112204628,2.364429899446002,3.336269486231558e-07,3.336269486231558e-07
attribute,0,1,1,2,0.029419280065981348,1.0934305446604362,7.878004194476453e-08,7.878004194476453e-08
attribute,0,1,1,3,0.03403335530648741,1.0791588526667928,4.71359196598263e-09,4.71359196598263e-09
attribute,0,1,2,3,0.02827002638501486,1.0258758412469287,-9.587052602777479e-06,9.587052602777479e-06
attribute,0,2,0,1,0.026892836042573077,2.561856786839545,0.00021976356155408577,0.00021976356155408577
attribute,0,2,0,2,0.028000031814577376,2.507179512121094,0.00038042679169865423,0.00038042679169865423
attribute,0,2,0,3,0.023543895944072055,2.357985024811402,0.00038439050043207607,0.00038439050043207607
attribute,0,2,1,2,0.036015458086952716,1.1316988574284153,-1.8290399940197527e-08,1.8290399940197527e-08
attribute,0,2,1,3,0.02448465079759055,1.0643549636199683,-1.8290394968293734e-08,1.8290394968293734e-08
attribute,0,2,2,3,0.0283619279005529,1.041638616225862,-5.666409797015959e-18,5.666409797015959e-18
attribute,1,0,0,1,0.035016402989563614,5.697443027026044,-0.004259159948207819,0.004259159948207819
attribute,1,0,0,2,0.019236204979071917,2.272818070501524,-0.004259159661881745,0.004259159661881745
attribute,1,0,0,3,0.018546954656037118,2.255730226787475,-0.0042591567184137894,0.0042591567184137894
attribute,1,0,1,2,0.02884393532829176,2.297773063112731,2.7534227444061592e-14,2.7534227444061592e-14
attribute,1,0,1,3,0.026917247542095957,2.2804975990083123,2.7800738853276274e-11,2.7800738853276274e-11
attribute,1,0,2,3,0.04039979196088463,0.9097337398855814,-0.00014452767420032164,0.00014452767420032164
attribute,1,1,0,1,0.024156557603559777,2.5942931321645673,-0.004488069783055798,0.004488069783055798
attribute,1,1,0,2,0.037207884513420185,5.759999856352806,-0.03779072118640418,0.03779072118640418
attribute,1,1,0,3,0.020296287178197016,2.5535281141699815,-0.0378325912665858,0.0378325912665858
attribute,1,1,1,2,0.03240890698066031,2.5942931657218424,-0.12586818627646004,0.12586818627646004
attribute,1,1,1,3,0.02017308712257845,1.1501042882428858,-0.12190894556137698,0.12190894556137698
attribute,1,1,2,3,0.02984172961341235,2.55352814719996,7.886048381442636e-07,7.886048381442636e-07
attribute,1,2,0,1,0.019307353748329637,1.1311745049228978,-0.01890174477479914,0.01890174477479914
attribute,1,2,0,2,0.03126902494499427,2.5432857766877253,-0.02759421361885739,0.02759421361885739
attribute,1,2,0,3,0.023185393854566787,1.0783176880884555,-0.027593969239813942,0.027593969239813942
attribute,1,2,1,2,0.032751811201938326,2.5618690449887853,-0.01693296210114872,0.01693296210114872
attribute,1,2,1,3,0.02249368870392753,1.0861967345940449,-0.01693296210114994,0.01693296210114994
attribute,1,2,2,3,0.033530065657441196,2.4421596259066876,-1.5210227744120297e-20,1.5210227744120297e-20
attribute,2,0,0,1,0.029439322801183648,2.6212491967382165,0.0007514204893395229,0.0007514204893395229
attribute,2,0,0,2,0.027821742153454294,2.3313221031006535,-0.000674995076471098,0.000674995076471098
attribute,2,0,0,3,0.023999449459956763,2.491103607375694,-0.011305983938103684,0.011305983938103684
attribute,2,0,1,2,0.020625098094709266,1.0736287757887142,-0.0034839596424262667,0.0034839596424262667
attribute,2,0,1,3,0.02718894231373611,1.1472119244237033,-0.05953031607051002,0.05953031607051002
attribute,2,0,2,3,0.032801331054992035,1.0203228749398143,-2.3382592632970046e-05,2.3382592632970046e-05
attribute,2,1,0,1,0.03222429596180306,5.724823775842992,-0.010707795877133212,0.010707795877133212
attribute,2,1,0,2,0.019367204622030947,2.3861770501754043,-0.05296201286504547,0.05296201286504547
attribute,2,1,0,3,0.022759124214217313,2.539675186504355,-0.004509726647778413,0.004509726647778413
attribute,2,1,1,2,0.02988451837838981,2.3993507645944003,-6.782815832467269e-08,6.782815832467269e-08
attribute,2,1,1,3,0.0323569911586111,2.5536963403921433,1.394164644288415e-07,1.394164644288415e-07
attribute,2,1,2,3,0.031583528685829566,1.0644120830886812,-0.00225102093715103,0.00225102093715103
attribute,2,2,0,1,0.033992805169434696,5.759999871253966,0.0038573507512396493,0.0038573507512396493
attribute,2,2,0,2,0.022190089601910025,2.3275723133931066,0.0041575641489559265,0.0041575641489559265
attribute,2,2,0,3,0.02378438257417079,2.436952676860446,0.0035933221788111425,0.0035933221788111425
attribute,2,2,1,2,0.02939168739280096,2.3275723133931066,9.856068964183596e-11,9.856068964183596e-11
attribute,2,2,1,3,0.031056986870743725,2.436952676860446,4.020725543034084e-09,4.020725543034084e-09
attribute,2,2,2,3,0.036314506206324454,0.9847541157105518,3.4196773222696307e-06,3.4196773222696307e-06
attribute,3,0,0,1,0.03357392830733153,5.736073254973041,-0.020075319398652303,0.020075319398652303
attribute,3,0,0,2,0.02271752903950161,2.400908077354008,-0.02007531873647472,0.02007531873647472
attribute,3,0,0,3,0.021542612716363704,2.4950795631570433,-0.02006497732953771,0.02006497732953771
attribute,3,0,1,2,0.02861540348724164,2.3909347578868667,-8.098664744660145e-07,8.098664744660145e-07
attribute,3,0,1,3,0.03204941921634702,2.4847150574044012,-0.00018042013973809667,0.00018042013973809667
attribute,3,0,2,3,0.038819904286914265,1.0400098091622771,0.011025123481203696,0.011025123481203696
attribute,3,1,0,1,0.03165252485713645,5.725519944870853,-0.0829529777983246,0.0829529777983246
attribute,3,1,0,2,0.01672682682666765,2.438399897457894,-0.08295575594134086,0.08295575594134086
attribute,3,1,0,3,0.0169469860856276,2.424437500642275,-0.08296007066072868,0.08296007066072868
attribute,3,1,1,2,0.024278201599576887,2.453084352397603,-1.5131618624765781e-09,1.5131618624765781e-09
attribute,3,1,1,3,0.02542264349344774,2.4390378716763443,3.243436879074596e-08,3.243436879074596e-08
attribute,3,1,2,3,0.023360067170703498,1.0387440360799702,-1.0345937653255499e-07,1.0345937653255499e-07
attribute,3,2,0,1,0.02810699947412157,2.3807763671852533,-2.4491519923230953e-13,2.4491519923230953e-13
attribute,3,2,0,2,0.025546742313119358,2.4171840851896733,-2.4791280139879746e-13,2.4791280139879746e-13
attribute,3,2,0,3,0.02694202896002353,2.5752347536214524,-2.4791280139879746e-13,2.4791280139879746e-13
attribute,3,2,1,2,0.029680233783899616,1.0001096135631042,-0.007836591932391323,0.007836591932391323
attribute,3,2,1,3,0.027693071744687964,1.0655030579007512,-0.007836631057455797,0.007836631057455797
attribute,3,2,2,3,0.028738102210461785,1.0817971270958184,-0.0017204300725560378,0.0017204300725560378
